Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,kWh del-rec,kVARh del-rec,Vln a,Vll ab,Vll bc,Vll ca,kW tot,kVAR tot,PF sign tot,Freq,Vll avg,I avg
07-01-2023 10:30:00000,1631.828735,160.646790,0.000000,0.883973,9993332.000000,1997176.250000,13233.028320,22929.152,22982.195,22943.436,6521.041504,-13.156110,99.999794,49.922375,22951.593750,164.475784
07-01-2023 10:45:00000,1615.152222,43.224319,0.000000,5.654871,9994947.000000,1997213.875000,13231.077,22929.611,22978.930,22936.059,6437.033691,396.481323,-99.810852,49.872681,22948.199,162.684418
07-01-2023 11:00:00000,1607.279053,113.484177,0.000000,0.000000,9996554.000000,1997327.250000,13204.684,22881.756,22937.012,22894.205,6433.016113,532.113831,-99.659645,49.867825,22904.324,163.141220
07-01-2023 11:15:00000,1606.667725,171.550140,0.000000,0.000000,9998161.000000,1997498.875000,13229.134,22920.207,22970.922,22936.311,6399.226074,631.203308,-99.517052,49.923260,22942.479,162.279358
07-01-2023 11:30:00000,1601.291138,129.677734,0.000000,9.840162,9999762.000000,1997618.750000,13275.396,22995.822,23080.957,23036.369,6409.723145,-468.214569,99.734268,49.994972,23037.717,161.413742
07-01-2023 11:45:00000,1601.140259,0.000000,0.000000,216.288330,1363.588013,1997402.375000,13227.039,22912.305,23000.900,22954.836,6369.776367,-877.409241,99.064598,49.988312,22956.014,162.045181
07-01-2023 12:00:00000,1599.457275,0.000000,0.000000,223.324203,2963.045410,1997179.125000,13213.231,22888.012,22974.182,22929.354,6403.753906,-991.753479,98.821907,49.946831,22930.516,163.500488
07-01-2023 12:15:00000,1602.322021,0.000000,0.000000,206.657547,4565.367188,1996972.375000,13245.175,22941.822,23028.937500,22986.289,6422.769043,-934.657471,98.957687,49.970463,22985.684,163.377228
07-01-2023 12:30:00000,1608.649414,0.000000,0.000000,271.593872,6174.016602,1996700.875000,13221.953,22900.537,22992.006,22948.902,6459.532715,-1163.811646,98.415421,50.004570,22947.148,165.468140
07-01-2023 12:45:00000,1619.130737,0.000000,0.000000,299.450623,7793.147461,1996401.375000,13236.359,22928.422,23019.107,22972.389,6527.989746,-1206.213989,98.335403,50.062767,22973.305,167.169983
07-01-2023 13:00:00000,1628.247070,0.000000,0.000000,322.468292,9421.394531,1996078.875000,13216.507,22891.941,22987.391,22941.523,6505.443848,-1539.241577,97.313133,50.036846,22940.285,168.578293
